name	id_staz	id_reg	lat	lon
Abano Terme	S05700	12	45.355199	11.811533
Abbadia Lariana	S01416	1	45.895864	9.335175
Abbasanta	S12873	20	40.128801	8.817733
Abbiategrasso	S01062	1	45.400631	8.921305
Acate	S12409	14	36.996592	14.42545
Acciano	S07423	19	42.175994	13.711345
Acerra	S09215	18	40.939066	14.372243
Acireale	S12328	14	37.600514	15.163697
Acqua Acetosa	S08715	5	41.794294	12.616449
Acquafredda	S11722	15	40.035527	15.671846
Acquanegra Cremonese	S01913	1	45.172102	9.888456
Acquappesa	S11736	17	39.48648	15.955992
Acquaviva	S12209	14	37.570258	13.674927
Acquaviva Delle Fonti	S11504	16	40.892806	16.839826
Acquedolci-S.Fratello	S12026	14	38.058459	14.587597
Acqui Terme	S00867	3	44.67407	8.474482
Acri Bisignano Luzzi	S11907	17	39.441389	16.245177
Adria	S05420	12	45.06058	12.054228
Africo Nuovo	S11872	17	38.053759	16.144283
Agliano Castelnuovo Calcea	S00804	3	44.786108	8.267723
Agrigento Bassa	S12213	14	37.319148	13.588094
Agrigento Centrale	S12216	14	37.309051	13.584412
Agropoli Castellabate	S11705	18	40.351521	15.002053
Airasca	S00514	3	44.928093	7.483536
Airole	S04481	2	43.870494	7.552757
Airuno	S01515	1	45.754086	9.422066
Ala	S02049	9	45.760087	10.996775
Alanno	S07708	19	42.287185	14.019595
Alano Fener Valdobbiadene	S02566	12	45.90229	11.944546
Alassio	S04515	2	44.007889	8.17112
Alba	S00825	3	44.697713	8.030629
Alba Adriatica Nereto Contr.	S07800	19	42.83438	13.91733
Albacina	S07207	11	43.345686	12.986501
Albano Di Lucania	S11453	15	40.574707	16.021247
Albano Laziale	S08704	5	41.72632	12.658056
Albano S.Alessandro	S01534	1	45.682744	9.768027
Albanova	S09004	18	40.996117	14.128596
Albaredo	S02538	12	45.670265	12.015104
Albate Camerlata	S01310	1	45.777371	9.073461
Albate-Trecallo	S01450	1	45.777391	9.095752
Albenga	S04516	2	44.04722	8.221663
Alberese	S08001	13	42.634158	11.1352
Albinia	S08003	13	42.502165	11.21134
Albisola	S04529	2	44.33469	8.512092
Albizzate Solbiate Arno	S01209	1	45.724117	8.80621
Albonese	S00033	1	45.297785	8.714601
Albuzzano	S01863	1	45.172504	9.261624
Alcamo Diramazione	S12150	14	37.978894	12.915916
Alcantara	S12320	14	37.82145	15.251158
Alessandria	S00470	3	44.909091	8.606498
Alfedena-Scontrone	S08908	19	41.738222	14.044662
Alfonsine	S05808	8	44.512364	12.039155
Alice Belcolle	S00809	3	44.722636	8.440076
Ali` Terme	S12310	14	38.013952	15.435184
Allerona-Castel Viscardo	S08202	6	42.78502	12.035236
Alpignano	S00216	3	45.091077	7.523745
Altamura	S11307	16	40.837666	16.551739
Altare	S04810	2	44.336169	8.332753
Altavilla Irpina	S09511	18	41.015265	14.782833
Altavilla M.	S12011	14	38.048392	13.554421
Altavilla Tavernelle	S02444	12	45.511805	11.454702
Altopascio	S06407	13	43.817418	10.672754
Alviano	S08206	6	42.591917	12.259583
Amantea	S11744	17	39.134353	16.068448
Ambivere Mapello	S01527	1	45.722163	9.550444
Amendola	S11051	16	41.518025	15.732569
Amendolara Oriolo	S11807	17	39.933731	16.60308
Amorosi Melizzano	S09306	18	41.173509	14.470759
Anagni-Fiuggi	S08658	5	41.71037	13.09597
Ancona	S07113	11	43.607734	13.497665
Ancona Marittima	S07116	11	43.619445	13.50911
Ancona Torrette	S07015	11	43.609936	13.455777
Anconetta	S02141	12	45.565249	11.567865
Andora	S04513	2	43.952003	8.139319
Angri	S09812	18	40.746404	14.575366
Anguillara	S08318	5	42.068133	12.304978
Annone Veneto	S02769	12	45.774904	12.680334
Antignano	S06727	13	43.492482	10.328827
Antrodoco Borgo Velino	S07408	5	42.415393	13.076193
Antrodoco Centro	S07435	5	42.409844	13.07096
Anversa-Villalago-Scanno	S08537	19	42.017261	13.835618
Anzano Del Parco	S01453	1	45.764965	9.202676
Anzio	S08709	5	41.4532	12.633205
Anzio Colonia	S08713	5	41.459893	12.617442
Aosta	S00137	4	45.73407	7.322424
Aosta Istituto	S00143	4	45.732938	7.303076
Aosta Viale Europa	S00146	4	45.733294	7.297371
Apice S.Arcangelo Bonito	S09314	18	41.140927	14.918733
Appiano	S08328	5	41.909342	12.43838
Apricena	S11024	16	41.77664	15.387809
Aprilia	S08705	5	41.592386	12.639126
Aquilonia	S09623	18	40.940252	15.541249
Aragona Caldare	S12370	14	37.381097	13.636837
Arbia	S06811	13	43.294393	11.406225
Arce	S08861	5	41.583695	13.571848
Arcisate	S01203	1	45.858579	8.86241
Arcola	S06006	2	44.118651	9.914649
Arcore	S01510	1	45.623493	9.322798
Ardara	S12817	20	40.632139	8.818996
Ardenno Masino	S01427	1	46.16198	9.651374
Ardore	S11853	17	38.175698	16.207311
Arena Po	S01947	1	45.082065	9.360394
Arenzano	S04533	2	44.403089	8.678322
Arezzo	S06915	13	43.461725	11.874189
Argenta	S05804	8	44.616867	11.841267
Ariano Irpino	S09316	18	41.181883	15.117508
Arona	S01020	3	45.755392	8.559075
Arpino	S08859	5	41.648296	13.59959
Arquata Scrivia	S04207	3	44.692533	8.885342
Arqua`	S05707	12	45.006465	11.748518
Arsoli	S08516	5	42.045852	13.013064
Artegna	S03021	10	46.23115	13.162328
Arvier	S00134	4	45.704259	7.166681
Ascea	S11711	18	40.140955	15.172626
Asciano	S06813	13	43.235245	11.579237
Asciano Monte Oliveto Maggiore	S06825	13	43.231706	11.563621
Ascoli Piceno	S07550	11	42.855474	13.587939
Ascoli Satriano	S11203	16	41.219859	15.547828
Asola	S01847	1	45.220454	10.402313
Assemini	S12889	20	39.287603	8.997936
Assisi	S07008	6	43.058921	12.585304
Asso	S01101	1	45.855228	9.268513
Asti	S00462	3	44.89479	8.208112
Atena	S09904	18	40.456676	15.536094
Attigliano	S08207	6	42.518054	12.294761
Augusta	S12345	14	37.24334	15.218628
Auletta	S09902	18	40.534934	15.426706
Aulla	S06168	13	44.209662	9.970632
Aulla Lunigiana	S06013	13	44.210555	9.970015
Aurisina	S03550	10	45.753943	13.687706
Avellino	S09514	18	40.921612	14.820586
Aversa	S09006	18	40.973323	14.218578
Avezzano	S08526	19	42.039495	13.426446
Aviano	S03087	10	46.064362	12.590686
Avigliana	S00214	3	45.085276	7.401096
Avigliano Lucania	S11214	15	40.714667	15.785619
Avio	S02050	9	45.733892	10.955842
Avise	S00133	4	45.706296	7.131285
Avola	S12426	14	36.907434	15.125733
Bari Centrale	S11119	16	41.11774	16.869601
Bologna C.Le	S05043	8	44.50626	11.342267
Badia Polesine	S02370	12	45.094439	11.484722
Badolato	S11841	17	38.572268	16.567646
Bagheria	S12008	14	38.089905	13.507215
Bagnacavallo	S05902	8	44.412138	11.969398
Bagnara	S11770	17	38.282695	15.800327
Bagnaria Arsa	S03123	10	45.885513	13.282026
Bagnasco	S00921	3	44.303264	8.046132
Bagni Di Lucca	S06308	13	44.003447	10.551631
Bagni Di Tivoli	S08504	5	41.949593	12.722208
