key	value
andamentoTreno.infTempoReale	Informazioni tempo reale
trafficoLabel	Tutto il Traffico
andamentoTreno.compAnticipo	anticipo {0} min.
andamentoTreno.partenzaEffettiva	Partenza effettiva
servizio_non_disponibile	"Servizio momentaneamente non disponibile, per info andare su <a target=""_blank"" href=""http://www.trenitalia.com"">www.trenitalia.com</a>"
andamentoTreno.andamentoTempoReale	Andamento in Tempo Reale
programmaOrario.21_24	dopo le {{time dataDa}}
programmaOrario.fasciaOrariaLabel	Fascia Oraria
del	del
andamentoTreno.inOrario	in orario
legenda.tragittoCancellato	Tragitto cancellato
legenda.trenoNazConRit30	Treno nazionale con ritardo > 30'
andamentoTreno.nonPartito	non partito
cercaTreno.da.label	Da
fermate.partenza	Partenza {{#if arrivato}}Effettiva{{else}}Prevista{{/if}}
precedente	Precedente
mappaCitta.stazioneDi	Stazione di
cercaTreno.numeroTreno.label	Numero treno
prec	(prec. {0})
meteo.oggi	Oggi
andamentoTreno.orientamento	Orientamento
noteLegali.noteLegaliLabel	Note Legali
cercaTrenoDatiViaggio.partenza	Partenza 
programmaOrario.localitaPartenza	Localit… di Partenza 
andamentoTreno.corrispondenze	Corrispondenze
cercaTrenoDatiViaggio.ritardo	Ritardo
programmaOrario.dalle_alle	dalle {{time dataDa}} alle {{time dataA}}
tab_alert3	Puoi aprire fino a tre tab
tab_alert4	Puoi aprire fino a quattro tab
legenda.trenoRegConRit15	Treno regionale con ritardo > 15'
programmaOrario.titoloLabel	Programma Orario
legenda.tragittoPercorso	Tragitto gi… percorso
cercaTreno.titolo.label	Cerca Treno
trafNazLabel	Traffico Nazionale
nessun_servizio_label	Non disponibile
serviziStazione	Servizi Stazione
ultimeNewsLabel	Ultime news
non_partito	non partito
a	a
cercaTrenoTratta.listaTreniInCircolazione	Lista treni in circolazione il
andamentoTrenoTempoReale_titolo	{{numero}} delle
andamentoTreno.ristorante	Ristorante
cercaTrenoDatiViaggio.risultatiRicerca	Risultati Ricerca   
andamentoTreno.ritardo	Ritardo
legenda.trenoRiprogrammato	Treno riprogrammato
legenda.trenoNazConRit60	Treno nazionale con ritardo > 60'
regionaleLabel	Regionale
link_siti	I siti del Gruppo
classe_in_coda	1 classe in coda
tabella_soluzioniViaggio_titoletto_ora	del {{date dataDa}}
cercaTrenoDatiViaggio.tabella_datiViaggio_titoletto	Da {0} a {1}
biciclette	Biciclette
fermate.arrivo	Arrivo {{#if arrivato}}Effettivo{{else}}Previsto{{/if}}
link_chiudi	chiudi
da	da
legenda.trenoRegConRit30	Treno regionale con ritardo > 30'
caratteri_minimi	Inserire almeno {0} caratteri
legenda.fermataStraordinaria	Fermata straordinaria
classe_in_testa	1 classe in testa
cercaTrenoDatiViaggio.arrivo	Arrivo
dettaglioSoluzioniViaggio.partenza	Partenza
campo_obbligatorio	Campo obbligatorio
fermate.arrivoEffettivo	Arrivo Effettivo
arrivato	Arrivato
programmaOrario.giornoLabel	Giorno
cercaTrenoTratta.da	Da
fermate.arrivoProgrammato	Arrivo Programmato
statistica_ultimoagg	Ultimo aggiornamento: 
dettaglioSoluzioniViaggio.arrivo	Arrivo
mappaLabel	Visualizza su Mappa
piantaStazione	Pianta Stazione
andamentoTreno.primSecClasse	Prima e Seconda Classe
programmaOrario.0_6	prima delle {{time dataA}}
andamentoTreno.alleOre	Alle ore
noteLegaliLabel	Note Legali
andamentoTrenoTempoReale_titolo_da_a	da {{origine}} a {{destinazione}}
andamentoTreno.conAnticipo	con un anticipo di {0} min.
meteo.pomeriggio	Pomeriggio
meteo.domani	Domani
cercaTrenoTratta.ritardo	Ritardo
programmaOrario.12_15	dalle 12:00 alle 15:00
programmaOrario.localitaArrivo	Localit… di Arrivo 
andamentoTreno.trenoViaggia	il treno viaggia
andamentoTreno.binReale	Bin.reale
soluzioniViaggio.treni	Treni
cercaTreno.a.label	A
soluzioniViaggio.partenza	Partenza
cercaTrenoCerca.arrivi	Arrivi
andamentoTreno.accessibile	Accessibile
andamentoTreno.compRitardo	ritardo {0} min.
andamentoTreno.ultimoRiv	Ultimo rilevamento a
